id,console-name,product-name,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,gamestop-price,genre,upc
11553,GameBoy Advance,Super Robot Taisen Original Generation 2,$6.30,$20.99,$17.20,$42.99,$7.99,RPG,730865850204
2606,GameBoy Advance,Super Street Fighter II,$2.80,$13.99,$6.30,$20.99,$7.99,Fighting,013388280018
2607,GameBoy Advance,Superman,$1.68,$8.39,$1.70,$8.39,"",Action & Adventure,0052002123125
11569,GameBoy Advance,Superman Countdown to Apokolips,"",$3.09,$1.30,$6.29,$4.99,Action & Adventure,742725235793
2608,GameBoy Advance,Superman Returns,"",$3.09,$1.00,$4.99,$3.99,Action & Adventure,014633152227
2609,GameBoy Advance,Surf Blue Gameboy Advance SP,$21.20,$52.99,$50.40,$125.99,"",Systems,045496715892
9904,GameBoy Advance,Surf's Up,"",$1.99,$1.10,$5.69,$4.99,Action & Adventure,008888143550
2610,GameBoy Advance,Sword of Mana,$1.78,$8.89,$6.90,$22.99,$9.99,RPG,045496733483
10993,GameBoy Advance,TMNT,$1.80,$8.99,$9.90,$32.99,$9.99,Action & Adventure,008888143413
11496,GameBoy Advance,TRON 20 Killer App,"",$2.09,$2.60,$12.99,$2.99,Action & Adventure,712725001452
2611,GameBoy Advance,Tactics Ogre,$3.40,$16.99,$17.20,$42.99,"",RPG,730865850020
2612,GameBoy Advance,Tak 2 The Staff of Dreams,$0.78,$3.89,$1.00,$5.19,$5.99,Action & Adventure,785138321646
2614,GameBoy Advance,Tak Great Juju Challenge,$0.80,$3.99,$1.10,$5.49,$3.99,Action & Adventure,785138321837
2613,GameBoy Advance,Tak and the Power of JuJu,"",$1.99,$2.60,$12.99,$2.99,Action & Adventure,785138321462
2615,GameBoy Advance,Tales of Phantasia,$3.20,$15.99,$9.90,$32.99,$4.99,RPG,045496736910
2616,GameBoy Advance,Tang Tang,"",$1.99,$1.00,$4.99,$2.99,Action & Adventure,710425310928
2617,GameBoy Advance,Tarzan Return to the Jungle,"",$3.09,$1.50,$7.39,$4.99,Action & Adventure,047875803893
2618,GameBoy Advance,Teen Titans,$0.90,$4.49,$1.00,$5.19,$5.99,Action & Adventure,096427014454
11350,GameBoy Advance,Teen Titans 2,$2.00,$9.99,$4.00,$19.99,$5.99,Action & Adventure,096427014812
2619,GameBoy Advance,Teenage Mutant Ninja Turtles,$1.36,$6.79,$2.40,$11.99,$6.99,Action & Adventure,083717500414
2620,GameBoy Advance,Teenage Mutant Ninja Turtles 2 BattleNexus,$1.46,$7.29,$6.30,$20.99,$7.99,Action & Adventure,083717500599
10407,GameBoy Advance,Teenage Mutant Ninja Turtles Double Pack,$3.80,$18.99,$6.60,$21.99,$4.99,Action & Adventure,083717500773
2621,GameBoy Advance,Teenage Mutant Ninja Turtles Volume 1,$0.78,$3.89,$1.10,$5.59,$4.99,Other,096427013518
2622,GameBoy Advance,Tekken Advance,$0.90,$4.49,$3.80,$18.99,$2.99,Fighting,722674021142
11635,GameBoy Advance,Ten Pin Alley 2,"",$3.49,$1.70,$8.39,$5.99,Sports,780332056417
2623,GameBoy Advance,Terminator 3 Rise of the Machines,$0.84,$4.19,$1.00,$4.99,$4.99,Action & Adventure,742725248441
2624,GameBoy Advance,Tetris Worlds,$0.84,$4.19,$1.40,$6.79,$19.99,Puzzle,785138320762
22032,GameBoy Advance,Texas Hold 'em Poker / Golden Nugget Casino,"",$3.19,$1.90,$9.39,"",Other,096427014362
2625,GameBoy Advance,Texas Hold'Em Poker,"",$3.09,$1.00,$4.99,"",Other,096427013716
9968,GameBoy Advance,That's So Raven,"",$1.99,$1.00,$5.19,$3.99,Action & Adventure,712725001575
10472,GameBoy Advance,That's So Raven 2 Supernatural Style,"",$3.09,$1.20,$6.19,$4.99,Action & Adventure,712725002237
2628,GameBoy Advance,The Bible Game,$1.10,$5.49,$2.20,$10.99,$3.99,Other,650008899085
2629,GameBoy Advance,The Cat in the Hat,$0.84,$4.19,$2.40,$11.99,$4.99,Action & Adventure,020626720359
10473,GameBoy Advance,The Cheetah Girls,"",$3.09,$1.00,$4.99,$6.99,Action & Adventure,712725002510
2630,GameBoy Advance,The Hobbit,$0.92,$4.59,$2.60,$12.99,$2.99,Action & Adventure,020626716024
2631,GameBoy Advance,The Incredible Hulk,$0.84,$4.19,$1.10,$5.29,$9.99,Action & Adventure,020626718929
2632,GameBoy Advance,The Incredibles,"",$3.19,$2.80,$13.99,$4.99,Action & Adventure,785138321721
2633,GameBoy Advance,The Incredibles Rise of the Underminer,"",$2.49,$1.00,$4.99,$3.99,Action & Adventure,785138321943
11660,GameBoy Advance,The Incredibles and Finding Nemo,"",$3.59,$3.40,$16.99,$7.99,Action & Adventure,785138322520
2634,GameBoy Advance,The Jungle Book,"",$2.29,$2.00,$9.99,$3.99,Action & Adventure,008888140054
2636,GameBoy Advance,The Land Before Time Collection,$0.84,$4.19,$2.00,$9.99,$2.99,Action & Adventure,815315000177
2637,GameBoy Advance,The Lion King 1 1/2,"",$2.89,$1.50,$7.29,$5.99,Action & Adventure,712725001407
2638,GameBoy Advance,The Mummy,"",$2.09,$14.80,$36.99,$3.99,Action & Adventure,008888140306
2639,GameBoy Advance,The Muppets On With the Show,"",$2.99,$2.20,$10.99,$2.99,Action & Adventure,739069625120
